"DO NOT EDIT","Thai"
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","ปลอมตัวเป็นบุคคลหรือนิติบุคคลใดๆ ซึ่งรวมถึง แต่ไม่จำกัดเพียงการอย่างเป็นทางการ KCGA หรือเจ้าภาพหรือให้ข้อมูลเท็จหรือบิดเบือนความเกี่ยวข้องกับบุคคลหรือนิติบุคคล "
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","ปลอมส่วนหัวหรือมิฉะนั้นจะจัดการกับตัวบ่งชี้ในการสั่งซื้อที่จะปกปิดที่มาของเนื้อหาใดๆ ที่ส่งผ่าน Futureed นั้น"
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีเนื้อหาใดๆ ที่คุณไม่ได้มีสิทธิที่จะทำให้อยู่ภายใต้กฎหมายหรือภายใต้ความสัมพันธ์ทางสัญญาหรือความไว้วางใจ (เช่น ข้อมูลที่เป็นกรรมสิทธิ์และข้อมูลที่เป็นความลับได้เรียนรู้หรือการเปิดเผยเป็นส่วนหนึ่งของความสัมพันธ์ของการจ้างงานภายใน หรือภายใต้สัญญาไม่เปิดเผย);"
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีเนื้อหาใดๆ ที่ละเมิดสิทธิบัตรเครื่องหมายการค้าความลับทางการค้าลิขสิทธิ์หรือกรรมสิทธิ์อื่นๆ ของบุคคลใดๆ"
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","อัพโหลดโพสต์อีเมล์ส่งหรือทำให้มีโฆษณาใด ๆ ที่ไม่พึงประสงค์หรือไม่ได้รับอนุญาตสื่อส่งเสริมการขาย ""อีเมลขยะ"" ""สแปม"", ""จดหมายลูกโซ่"", ""แผนการปิระมิด"" หรือรูปแบบอื่น ๆ ของการชักชวนยกเว้นในพื้นที่เหล่านั้น (เช่นช้อปปิ้ง) ที่ได้รับมอบหมายเพื่อวัตถุประสงค์ดังกล่าว"
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","อัพโหลด โพสต์ อีเมล์ ส่งหรือทำให้มีวัสดุใดๆ ที่มีไวรัสคอมพิวเตอร์หรือรหัสคอมพิวเตอร์อื่นๆ ไฟล์หรือโปรแกรมที่ออกแบบมาเพื่อรบกวนทำลายหรือจำกัดการทำงานของส่วนหนึ่งของ Futureed ใดๆ"
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","รบกวนการสื่อสารในการเจรจาทำให้หน้าจอที่จะ ""เลื่อน"" เร็วกว่าผู้ใช้บริการรายอื่นๆ สามารถที่จะพิมพ์หรือกระทำการในลักษณะที่ส่งผลกระทบต่อผู้ใช้อื่นๆ "
"Interfere","การรบกวน"
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","เจตนาหรือไม่เจตนาละเมิดกฎหมายที่ใช้บังคับพระราชบัญญัติ พระราชกฤษฎีกา ระเบียบ กฎหรือข้อบังคับ แต่ไม่จำกัดเฉพาะการใดๆ ระเบียบ ข้อบังคับ ประกาศ คำสั่งหรือคำสั่งขององค์กรกำกับดูแลใดหรือผู้มีอำนาจซึ่งเป็นหน่วยงานของรัฐหรือตราสารแห่งชาติหรืออื่นๆแลกเปลี่ยน "
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","ให้การสนับสนุนหรือทรัพยากร (หรือซ่อนเร้นหรืออำพรางลักษณะที่ตั้งของแหล่งที่มาหรือความเป็นเจ้าของของการสนับสนุนหรือทรัพยากรให้กับองค์กรใดๆ ) ที่กำหนดโดยสิงคโปร์ขายในประเทศของรัฐบาลสหรัฐอเมริกาเป็นองค์กรก่อการร้ายต่างประเทศ"
"""stalk"" or otherwise harass another;","""ติดตาม"" หรือก่อกวนผู้อื่น"
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","กระทำการฉ้อโกงหรือผิดกฎหมายใดๆ ไม่ว่าในความสัมพันธ์กับผู้ให้บริการของบุคคลที่สามของสินค้าและบริการในบริการหรืออื่นๆ และ / หรือ"
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","เก็บรวบรวมหรือเก็บข้อมูลส่วนบุคคลเกี่ยวกับผู้ใช้คนอื่นๆ ในการเชื่อมต่อกับการดำเนินการและกิจกรรมต้องห้ามที่กำหนดไว้ในข้อตกลงนี้"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","สร้าง แสดง ส่งหรือได้รับวัสดุที่เป็นภัยคุกคามหรือมีผลกระทบต่อการรักษาความปลอดภัยแห่งชาติสิงคโปร์"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","สร้าง แสดง ส่งหรือได้รับวัสดุที่เป็นภัยคุกคามหรือมีผลกระทบต่อความสามัคคีของเชื้อชาติในสิงคโปร์"
"Create, display, transmit, or obtain materials that violates intellectual property laws;","สร้าง แสดง ส่งหรือได้รับวัสดุที่ละเมิดกฎหมายทรัพย์สินทางปัญญา"
"Use of machines, computers, scripts, “bots” or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","ห้ามใช้งานสคริปต์เครื่องคอมพิวเตอร์ ""บอท"" หรือระบบอัตโนมัติใดๆ บน Futureed Pte Ltd เป็นเด็ดขาดและอาจส่งผลในความรับผิดทางอาญา Futureed Pte Ltd อาจบอกเลิกอย่างถาวรและตัดสิทธิ์ผู้ใช้ที่อยู่ในดุลยพินิจของตนในฐานะที่เป็นตัวกำหนดในการละเมิดข้อกำหนดในการให้บริการเหล่านี้ การตัดสินใจทั้งหมดโดย Futureed Pte Ltd ถือเป็นที่สิ้นสุด"
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd อาจรวมถึงการเชื่อมโยงไปยังเว็บไซต์ที่ดำเนินการโดยบุคคลอื่นที่ไม่ใช่ Futureed Pte Ltd รวมถึงผู้โฆษณาและผู้ให้บริการเนื้อหาอื่น ๆ เว็บไซต์เหล่านั้นอาจเก็บรวบรวมข้อมูลหรือขอข้อมูลส่วนบุคคลจากคุณ Futureed Pte Ltd ไม่ได้ควบคุมเว็บไซต์ดังกล่าวและจะไม่รับผิดชอบต่อเนื้อหาของพวกเขานโยบายความเป็นส่วนตัวหรือสำหรับการเก็บรวบรวมการใช้หรือการเปิดเผยข้อมูลใด ๆ ที่เว็บไซต์เหล่านั้นอาจเก็บรวบรวม"
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd และ KCGA ไม่มีการรับประกันความถูกต้องหรือความครบถ้วนสมบูรณ์ของข้อมูลใดๆ บนหน้าเว็บเหล่านี้การสำรวจฐานข้อมูลหรือผลลัพธ์และจะไม่รับผิดชอบต่อ ข้อผิดพลาดหรือการละเว้นการกระทำที่เกิดขึ้นจากการใช้ข้อมูลดังกล่าวใดๆ 2) ความล้มเหลว, ความล่าช้าหรือหยุดชะงักในการส่งมอบเนื้อหาหรือบริการใดๆ ที่อยู่ในเซิร์ฟเวอร์ของเรานั้น หรือ 3) ความสูญเสียหรือความเสียหายที่เกิดจากการใช้เนื้อหาหรือการให้บริการของเรา"
"Futureed Pte Ltd products and services are created based on the integrity of the users using the assessments. As a responsible and user with integrity, by using the assessments on Futureed Pte Ltd, you agree to be personally honest and to treat others with respect and courtesy in terms of taking any assessment at Futureed Pte Ltd. You agree that you have neither received nor been given assistance on the assessment and will not attempt to undermine the test by copying, cheating or plagiarizing questions or answers. You will also not infringe on the intellectual property rights of the owners of the content by distributing the content without permission. If you do so, you are aware that you will be liable for any subsequent consequences related to intellectual property rights infringement actions by us.","ผลิตภัณฑ์และบริการ Futureed Pte Ltd ถูกสร้างขึ้นบนพื้นฐานของความซื่อสัตย์ของผู้ใช้โดยใช้การประเมินผลที่ ในฐานะที่เป็นผู้รับผิดชอบและใช้งานด้วยความซื่อสัตย์สุจริตโดยใช้การประเมินผลในฟิวเจอร์สพีทีอี จำกัด คุณตกลงที่จะซื่อสัตย์ส่วนตัวและการปฏิบัติต่อผู้อื่นด้วยความเคารพและมารยาทในแง่ของการประเมินใด ๆ ที่ Futureed Pte Ltd. คุณยอมรับว่าคุณมีไม่ได้รับมิได้ ได้รับความช่วยเหลือในการประเมินและจะไม่พยายามที่จะบ่อนทำลายการทดสอบโดยการคัดลอกโกงหรือ plagiarizing คำถามหรือคำตอบ คุณยังจะไม่ละเมิดสิทธิในทรัพย์สินทางปัญญาของเจ้าของเนื้อหาโดยการกระจายเนื้อหาไม่ได้รับอนุญาต ถ้าคุณทำเช่นนั้นคุณจะทราบว่าคุณจะต้องรับผิดชอบต่อผลกระทบที่ตามมาใด ๆ ที่เกี่ยวข้องกับการกระทำของสิทธิในทรัพย์สินทางปัญญาละเมิดโดยเรา"
"You also specifically agree that you will not,","นอกจากนี้คุณยังตกลงที่คุณจะไม่ทำ"
"Attempt to copy or share the questions and answers with your friends, family, acquaintances and associates.","พยายามที่จะคัดลอกหรือแบ่งปันคำถามและคำตอบกับเพื่อนของคุณครอบครัวคนรู้จักและเพื่อนร่วมงาน"
"Attempt to cheat on any assessment on Futureed Pte Ltd, such as enlisting friends, family, acquaintances and associates to help answer the questions. We respect your integrity, and strongly encourage you to complete the test to the best of your own abilities.","พยายามที่จะโกงการประเมินใดๆ ใน Futureed Pte Ltd จำกัด เช่น สมัครเป็นเพื่อน ครอบครัว คนรู้จักและเพื่อนร่วมงานที่จะช่วยตอบคำถาม เราเคารพในความซื่อสัตย์ของคุณและขอแนะนำให้คุณดำเนินการทดสอบที่ดีที่สุดของความสามารถของคุณเอง"
"Intellectual Property Rights","สิทธิในทรัพย์สินทางปัญญา"
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, “Content”). All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise. The Futureed Pte Ltd site may be used only by you for assessments on Futureed Pte Ltd. These Terms and Conditions of Use do not grant to or create to you, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site. You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you. The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited. Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","เว้นแต่จะระบุเป็นอย่างอื่น KCGA หรือใบอนุญาตของเจ้าของและรักษากรรมสิทธิ์ทั้งหมดในเว็บไซต์และวัสดุและข้อมูลที่โพสต์ทั้งหมดดังกล่าวรวมถึง แต่ไม่ถ่ายภาพข้อ จำกัด  ข้อความ กราฟฟิค โลโก้ ไอคอน เนื้อหา บันทึกเสียง บทสอนเสียง / คลิปภาพและ การออกแบบ (รวมเรียกว่า ""เนื้อหา"") ทั้งหมดของวัสดุที่มีอยู่ในเว็บไซต์ที่มีลิขสิทธิ์นอกจากที่ระบุอย่างชัดเจน เว็บไซต์ Futureed Pte Ltd อาจถูกใช้โดยคุณและพนักงานของคุณหรือเฉพาะ บุคคลภายใต้การควบคุมและ / หรือการกำกับดูแลของคุณ ข้อตกลงและเงื่อนไขในการใช้งานเหล่านี้ไม่ให้ไปหรือสร้างในลูกค้าผู้ใช้ใดๆ หรือบุคคลอื่นใดสนใจหรือทรัพย์สินทางปัญญาที่เป็นกรรมสิทธิ์สิทธิใดๆ หรือเว็บไซต์ Futureed Pte Ltd หรือเครื่องมือในการประเมินใดๆ หรือสอบถามข้อมูลหรือเนื้อหาอื่นๆ ประกอบไปด้วยหรือที่มีอยู่บนเว็บไซต์ Futureed Pte Ltd คุณไม่สามารถใช้คัดลอกทำซ้ำเผยแพร่อัพโหลดโพสต์แจกจ่ายหรือปรับเปลี่ยนเครื่องหมายการค้าหรือ เนื้อหาโดยไม่ได้รับอนุญาตจาก Futureed Pte Ltd ในแต่ละกรณีเว้นแต่เนื้อหาดังกล่าวถูกโพสต์โดยคุณ การใช้ Futureed Pte Ltd หรือ KCGA เนื้อหาที่มีลิขสิทธิ์ในเว็บไซต์อื่นๆ ที่เป็นสิ่งต้องห้ามอย่างเคร่งครัด Futureed Pte Ltd และ KCGA อาจจะบังคับใช้สิทธิในทรัพย์สินทางปัญญาไปตามกฎหมายรวมทั้งการแสวงหาของการฟ้องร้องทางอาญา"
"Confidential Information","ข้อมูลที่เป็นความลับ"
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential. Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","ข้อมูลที่เป็นความลับรวมถึงข้อกำหนดเหล่านี้งบของการทำงานข้อตกลงใบอนุญาตธุรกิจและแผนการตลาดและกลยุทธ์ธุรกิจที่ไม่ใช่ภาครัฐและเทคโนโลยีสารสนเทศความลับทางการค้าเนื้อหารวมอยู่ในการประเมินผลโดยคุณวัสดุที่เป็นลายลักษณ์อักษรที่ทำเครื่องหมายไว้เป็นความลับและข้อมูลอื่นๆ รวมทั้ง ข้อมูลภาพและในช่องปากซึ่งสมเหตุสมผลควรจะเข้าใจเป็นความลับ Futureed Pte Ltd จะใช้เทคโนโลยีที่เหมาะสมในเชิงพาณิชย์ การปฏิบัติที่ดีที่สุดในอุตสาหกรรมเพื่อให้มั่นใจความสมบูรณ์และความปลอดภัยของข้อมูลที่เป็นความลับทั้งหมดที่เกี่ยวกับการโจรกรรมการละเมิดลิขสิทธิ์และการเข้าถึงไม่ได้รับอนุญาต"
"Indemnity Obligation","พันธะการชดใช้"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site. This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material submitted.","เท่าที่ได้รับอนุญาตตามกฎหมาย คุณยินยอมที่จะชดใช้ค่าเสียหายและ KCGA ไม่เป็นอันตรายกับการเรียกร้องใดๆ และทั้งหมดและค่าใช้จ่ายรวมทั้งค่าทนายความที่เหมาะสมที่เกิดขึ้นจากการใช้ผลิตภัณฑ์ KCGA บริการและเว็บไซต์นี้ ความคุ้มครองนี้อย่างชัดแจ้ง รวมถึงความรับผิดชอบของคุณสำหรับการใดๆ และหนี้สินทั้งหมดที่เกิดจากการละเมิดหรือการละเมิดสิทธิในลิขสิทธิ์เครื่องหมายการค้าหรือกรรมสิทธิ์อื่นๆ และจากการใช้วัสดุหมิ่นประมาทหรือผิดกฎหมายใดๆ"
"Right To Terminate","สิทธิการยกเลิก"
,
"DISCLAIMER","การปฏิเสธความรับผิด"
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","FUTUREED PTE LTD ให้ ""ตามสภาพ"" และ ""ความผิดพลาดทั้งหมด"" และไม่มีการรับประกันใดๆ และการใช้ FUTUREED Pte Ltd ราวเป็นลูกค้า"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD, ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","ในขอบเขตสูงสุดที่กฎหมายอนุญาต KCGA จะไม่มีความรับผิดให้กับลูกค้าผู้ใช้ใดๆ หรือบุคคลอื่นใดเพื่อการพิเศษ อุบัติเหตุทางอ้อมหลักประกันเป็นผลที่เป็นแบบอย่างหรือค่าเสียหายเชิงลงโทษไม่ว่าจะดำเนินการหรือสัญญาใดๆ ส่วนหนี้สินที่เข้มงวดการละเมิด (รวมถึง แต่ไม่ จำกัด เฉพาะการประมาท) หรือทฤษฎีอื่นๆ ของความรับผิด (รวมถึง แต่ไม่ จำกัด เฉพาะการละเมิดการรับประกัน) ที่เกิดขึ้นจากหรือในทางใดๆ ที่เกี่ยวข้องหรือเกี่ยวข้องกับการใช้หรือประสิทธิภาพของ หรือไม่สามารถใช้ FUTURES PTE LTD หรือผิดพลาดการละเลยหรือไม่ถูกต้องมีอยู่ในใดๆ ข้อมูลสารสนเทศบันทึกหรือผลลัพธ์ที่ได้โดยผ่านหรือเกิดจากการใช้ FUTURES PTE LTD หรือจากการสูญเสียใดๆ หรือความเสียหายของข้อมูลหรือข้อมูลอื่นๆ หรือบันทึก แม้ว่า KCGA ได้รับทราบถึงความเป็นไปได้ของความเสียหายดังกล่าวหรือความเป็นไปได้ดังกล่าวสมเหตุสมผลคาดการณ์ได้รวมถึง ( แต่ไม่ จำกัด เฉพาะ) เสียหายที่สูญเสียในการใช้งานสำหรับความล่าช้าการสูญเสียของธุรกิจสูญเสียรายได้ผลกำไรหรือเงินออม ธุรกิจหยุดชะงักการสูญเสีย การสูญเสียหรือความเสียหายของข้อมูลหรือข้อมูลอื่นๆ หรือบันทึกการสูญเสียความเป็นส่วนตัวและการสูญเสียค่าความนิยมและความรับผิดต่อบุคคลที่สามที่เกิดขึ้นจากหรือในทางใดๆ ที่เกี่ยวข้องหรือเกี่ยวข้องกับการใช้หรือประสิทธิภาพของหรือไม่สามารถใช้ FUTUREED PTE LTD หรือเกิดขึ้นหรือในทางใดๆ ที่เชื่อมต่อกับหรือเกี่ยวข้องกับการใช้หรือไม่สามารถใช้ข้อมูลหรือข้อมูลอื่นๆ บันทึกหรือผลลัพธ์ที่ได้โดยผ่านหรือเกิดจากการใช้หรือการไม่สามารถใช้ FUTUREED PTE LTD สูญเสียหรือความเสียหายของ ข้อมูลหรือข้อมูลอื่นๆ หรือบันทึก หรือเกิดขึ้นจากความล้มเหลวใดๆ ต่อไปตามหน้าที่ใดๆ รวมถึง ( แต่ไม่ จำกัด เฉพาะ) หน้าที่ของความเชื่อที่ดีใดๆ หรือการออกกำลังกายการดูแลสมเหตุสมผลในเชิงพาณิชย์หรือเกิดขึ้นจากการหลักสูตรการจัดการ สนามของประสิทธิภาพการใช้งานใดๆ หรือเพื่อการค้าหรืออื่นใดก็ตามแม้ว่า KCGA หรือ FUTUREED PTE LTD ได้รับคำแนะนำเป็นไปได้ของความเสียหายดังกล่าวหรือถ้าเป็นไปได้ดังกล่าวคาดการณ์ได้สมเหตุสมผล"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA’S TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD, OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.","ในขอบเขตสูงสุดที่กฎหมายอนุญาต KCGA ทั้งสิ้นรับผิดและหน้าที่ในเกิดขึ้นจากหรือในลักษณะใดเกี่ยวข้องหรือที่เกี่ยวข้องกับของลูกค้าหรือผู้ใช้งานใดๆ หรือไม่สามารถใช้ FUTURES PTE LTD หรือผลที่ได้รับจากการใช้ FUTUREED PTE LTD ถูกจำกัด ให้เกิดความเสียหายโดยตรงซึ่งจะไม่ในกรณีใดๆ เกินหนึ่งร้อยดอลลาร์สิงคโปร์ (S$ 100.00) ในการรวม สูงสุดขยายกฎหมายอนุญาต ข้อจำกัดนี้ไม่คำนึงถึงข้อเสนอแนะเป็นไปได้ว่าหนี้สินจะขึ้นจากการผิดสัญญาการละเมิด (รวมถึง แต่ไม่ จำกัด เฉพาะการประมาท) หนี้สินที่เข้มงวดการละเมิดการรับประกันหรือทฤษฎีอื่นๆ ตามกฎหมาย"
