"DO NOT EDIT","Bahasa Malaysia"
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Menyamar sebagai mana-mana orang atau entiti, termasuk, tetapi tidak terhad kepada, seorang pegawai KCGA, atau tuan rumah, atau penyataan salah atau tidak memaparkan hubungan anda dengan seseorang atau entiti;"
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Memalsukan tajuk-tajuk atau selainnya memanipulasikan identiti untuk menyamar punca mana-mana Kandungan yang dihantarkan melalui Futureed;"
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Memuat naik, menyiarkan, e-mel, menghantar atau menyediakan apa-apa Kandungan yang anda tidak mempunyai hak untuk menyediakan di bawah mana-mana undang-undang atau di bawah hubungan berkontrak atau fidusiari (seperti maklumat dalaman, proprietari dan maklumat sulit yang diketahui atau didedahkan sebagai sebahagian daripada hubungan pekerjaan atau di bawah perjanjian tidak didedahkan);"
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Memuat naik, menyiarkan, e-mel, menghantar atau selainnya menjadikan tersedia apa-apa Kandungan yang melanggar paten, tanda dagang, rahsia perdagangan, hak cipta atau hak proprietari mana-mana pihak;"
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Memuat naik, pos, e-mel, menghantar atau menyediakan apa-apa pengiklanan yang tidak diminta atau tidak sah, bahan promosi, ""mel sampah"", ""spam"", ""surat berantai"", ""skim piramid"" atau sebarang format permohonan, kecuali di kawasan-kawasan (seperti membeli-belah) yang ditetapkan bagi maksud itu;"
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Memuat naik, menyiarkan, e-mel, menghantar atau selainnya menjadikan tersedia apa-apa bahan yang mengandungi virus perisian atau sebarang kod komputer, fail atau program yang direka untuk mengganggu, memusnahkan atau menghadkan fungsi mana-mana bahagian Futureed;"
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Mengganggu aliran biasa dialog, menyebabkan skrin ""tatal"" lebih cepat daripada pengguna lain Perkhidmatan ini dapat menaip, atau bertindak dengan cara yang memberi kesan negatif pengguna lain"
"Interfere","Mengganggu"
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Dengan sengaja atau tidak sengaja melanggar sebarang undang-undang, statut, ordinan, peraturan atau kod, termasuk, tetapi tidak terhad kepada, mana-mana peraturan, notis, arahan atau arahan mana-mana badan kawal selia atau pihak berkuasa, agensi kerajaan atau negara atau pertukaran sekuriti lain-lain;"
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Memberi sokongan bahan atau sumber (atau menyembunyikan atau menyamar sifat, lokasi, sumber, atau pemilikan bahan sokongan atau sumber) kepada mana-mana organisasi) ditetapkan oleh Singapura, negara anda atau kerajaan Amerika Syarikat sebagai organisasi pengganas asing;"
"""stalk"" or otherwise harass another;","""Menghendap"" atau dengan cara lain mengganggu yang lain;"
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Melakukan apa-apa perbuatan penipuan atau menyalahi undang-undang, sama ada berkaitan dengan mana-mana pembekal produk pihak ketiga dan perkhidmatan pada Perkhidmatan atau selainnya tidak dan/atau"
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Mengumpul atau menyimpan data peribadi pengguna lain berhubung dengan tingkah laku dan aktiviti yang dilarang  dinyatakan dalam perjanjian ini;"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Cipta, memaparkan, menghantar, atau memperoleh bahan-bahan yang menimbulkan ancaman kepada atau menjejaskan keselamatan negara Singapura"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Cipta, memaparkan, menghantar, atau memperoleh bahan-bahan yang menimbulkan ancaman kepada atau menjejaskan keharmonian kaum di Singapura;"
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Mencipta, memaparkan, menghantar, atau mendapatkan bahan-bahan yang melanggar undang-undang harta intelek;"
"Use of machines, computers, scripts, “bots” or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","Penggunaan mesin, komputer, skrip, ""bots"" atau mana-mana sistem automatik di Futuree Pte Ltd adalah dilarang sama sekali dan boleh menyebabkan liabiliti jenayah. Futureed Pte Ltd boleh menamatkan dan membatalkan mana-mana pengguna selama-lamanya, mengikut budi bicara mutlaknya, ditentukan sebagai pelanggaran Terma Perkhidmatan. Segala keputusan Futureed Pte Ltd adalah muktamad;"
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd mungkin termasuk pautan ke laman web yang dikendalikan oleh pihak lain selain daripada Futureed Pte Ltd termasuk pengiklan dan penyedia kandungan lain. Laman-laman boleh mengumpul data atau mendapatkan maklumat peribadi daripada anda. Futureed Pte Ltd tidak mengawal laman web tersebut, dan tidak bertanggungjawab untuk kandungan, dasar privasi, atau bagi pengumpulan, penggunaan atau pendedahan apa-apa maklumat laman tersebut yang dikumpul."
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd dan KCGA tidak membuat sebarang jaminan ketepatan, kebenaran, atau kelengkapan maklumat di halaman-halaman web, kaji selidik, pangkalan data, atau keputusan, dan tidak bertanggungjawab bagi a) apa-apa kesilapan atau ketinggalan yang timbul daripada penggunaan maklumat itu; 2) apa-apa kegagalan, kelewatan, atau gangguan dalam penghantaran sebarang kandungan atau perkhidmatan yang terkandung pada pelayan kami; atau 3) kerugian atau ganti rugi yang berbangkit daripada penggunaan kandungan atau perkhidmatan yang disediakan oleh kami."
"Futureed Pte Ltd products and services are created based on the integrity of the users using the assessments. As a responsible and user with integrity, by using the assessments on Futureed Pte Ltd, you agree to be personally honest and to treat others with respect and courtesy in terms of taking any assessment at Futureed Pte Ltd. You agree that you have neither received nor been given assistance on the assessment and will not attempt to undermine the test by copying, cheating or plagiarizing questions or answers. You will also not infringe on the intellectual property rights of the owners of the content by distributing the content without permission. If you do so, you are aware that you will be liable for any subsequent consequences related to intellectual property rights infringement actions by us.","Produk dan perkhidmatan Futureed Pte Ltd dicipta berdasarkan integriti pengguna menggunakan penilaian. Seperti yang bertanggungjawab dan pengguna dengan integriti, dengan menggunakan penilaian terhadap Futureed Pte Ltd, anda bersetuju untuk secara peribadi jujur dan melayan orang lain dengan rasa hormat dan budi bahasa dari segi mengambil apa-apa penilaian di Futureed Pte Ltd. Anda bersetuju bahawa anda tidak akan mempunyai menerima atau diberi bantuan kepada penilaian dan tidak akan cuba untuk melemahkan ujian dengan menyalin, menipu atau memplagiat soalan atau jawapan. Anda juga tidak akan melanggar hak harta intelek pemilik kandungan dengan mengedarkan kandungan tanpa kebenaran. Jika anda berbuat demikian, anda sedar bahawa anda akan bertanggungjawab ke atas apa-apa kesan berikutnya yang berkaitan dengan hak harta intelek tindakan pelanggaran oleh kami."
"You also specifically agree that you will not,","Anda juga bersetuju secara khususnya bahawa anda tidak akan"
"Attempt to copy or share the questions and answers with your friends, family, acquaintances and associates.","Cuba untuk menyalin atau berkongsi soalan dan jawapan dengan rakan-rakan anda, keluarga, kenalan dan rakan."
"Attempt to cheat on any assessment on Futureed Pte Ltd, such as enlisting friends, family, acquaintances and associates to help answer the questions. We respect your integrity, and strongly encourage you to complete the test to the best of your own abilities.","Cuba untuk menipu mana-mana penilaian di Futureed Pte Ltd, seperti rakan-rakan mendaftar, keluarga, kenalan dan rakan untuk membantu menjawab soalan-soalan. Kami menghormati integriti anda, dan amat menggalakkan anda untuk menyelesaikan ujian untuk yang terbaik daripada kemampuan anda sendiri."
"Intellectual Property Rights","Hak Harta Intelek"
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, “Content”). All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise. The Futureed Pte Ltd site may be used only by you for assessments on Futureed Pte Ltd. These Terms and Conditions of Use do not grant to or create to you, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site. You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you. The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited. Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","Melainkan dinyatakan selainnya, KCGA atau pemberi lesennya memiliki dan mengekalkan semua hak milik dalam laman web dan semua bahan dan maklumat yang disiarkan di atasnya, termasuk tanpa gambar had, teks, grafik, logo, ikon, kandungan, rakaman bunyi, tutorial, audio / klip visual dan reka bentuk (secara kolektif, ""Kandungan""). Semua bahan-bahan yang terkandung dalam Laman Web ini adalah hak cipta, kecuali jika dinyatakan dengan jelas selainnya. Tapak Future Pte Ltd hanya boleh digunakan oleh anda untuk penilaian pada Futureed Pte Ltd. Terma dan Syarat Penggunaan tidak memberikan atau dicipta untuk anda, mana-mana pengguna, atau mana-mana orang lain apa-apa kepentingan atau harta intelek hak proprietari dalam atau tapak Futureed Pte Ltd atau mana-mana alat penilaian, atau maklumat atau kandungan lain terdiri atau boleh didapati di laman Futureed Pte Ltd. Anda tidak boleh menggunakan, menyalin, mengeluarkan semula, menerbitkan, memuat naik, mengepos, menghantar, mengedar, atau mengubah suai tanda dagangan atau kandungan, tanpa kebenaran yang jelas daripada Futureed Pte Ltd dalam setiap keadaan, melainkan jika kandungan itu dihantar oleh anda. Penggunaan Futureed Pte Ltd atau KCGA bahan hak cipta pada mana-mana laman web lain adalah dilarang sama sekali. Futureed Pte Ltd dan KCGA agresif akan menguatkuasakan hak harta intelek ke tahap sepenuhnya undang-undang itu, termasuk membuat dakwaan jenayah."
"Confidential Information","Maklumat Sulit"
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential. Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","Indemniti Kewajipan Maklumat Sulit termasuk syarat-syarat ini, penyata kerja, perjanjian lesen, rancangan dan strategi perniagaan dan pemasaran, maklumat perniagaan dan teknologi bukan awam, rahsia perdagangan, Kandungan di dalam penilaian oleh anda, mana-mana bahan bertulis ditanda sebagai sulit dan apa-apa maklumat lain , termasuk maklumat visual dan lisan, yang semunasabahnya perlu difahami untuk menjadi yakin. Niaga Hadapan Pte Ltd akan menggunakan teknologi, amalan terbaik yang berpatutan secara komersil industri untuk memastikan integriti dan keselamatan semua Maklumat Sulit berkenaan dengan kecurian, cetak rompak, dan akses yang tidak dibenarkan."
"Indemnity Obligation","Kewajiban Ganti Rugi"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site. This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material submitted.","Setakat yang dibenarkan oleh undang-undang, anda bersetuju untuk menanggung rugi dan KCGA tidak bertanggungjawab terhadap sebarang dan semua tuntutan dan perbelanjaan, termasuk yuran peguam yang munasabah, yang timbul daripada penggunaan produk KCGA, perkhidmatan dan laman web ini. ganti rugi ini nyata termasuk tanggungjawab anda untuk sebarang dan semua liabiliti yang timbul daripada pelanggaran atau pelanggaran hak cipta, tanda dagangan atau hak proprietari lain dan daripada penggunaan apa-apa bahan fitnah atau menyalahi undang-undang yang dikemukakan."
"Right To Terminate","Hak Untuk Menamatkan"
,
"DISCLAIMER","PENAFIAN"
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","FUTUREED PTE LTD DISEDIAKAN ""SEBAGAIMANA ADANYA"" DAN ""DENGAN SEMUA KEROSAKAN"" DAN TANPA SEBARANG JENIS, DAN PENGGUNAAN FUTUREED PTE LTD ADALAH ATAS RISIKO SETIAP PENGGUNA SENDIRI. SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, KCGA MENAFIKAN SEMUA EXPRESS DAN WARANTI TERSIRAT DAN SYARAT, SAMA ADA OLEH STATUT, COMMON LAW, CUSTOM, KURSUS BERURUSAN, KURSUS PRESTASI, PENGGUNAAN PERDAGANGAN, ATAU SELAINNYA, BERKAITAN DENGAN FUTUREED PTE LTD TERMASUK (TETAPI TIDAK TERHAD KEPADA) SEMUA WARANTI DAN SYARAT KEBOLEHDAGANGAN, KUALITI BOLEH NIAGA, KESESUAIAN UNTUK TUJUAN TERTENTU, TAJUK, KURANG VIRUS, DAN BUKAN PELANGGARAN. SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, FUTUREED PTE LTD TIDAK REPRESENTASI, JAMINAN, ATAU GUARANTY BERHUBUNGAN DENGAN KESESUAIAN THE, KEBOLEHPERCAYAAN, KETERSEDIAAN, KETEPATAN MASA, KUALITI, KETEPATAN ATAU KESEMPURNAAN FUTUREED PTE LTD, SEBARANG DATA, MAKLUMAT, REKOD, ATAU KEPUTUSAN DIPEROLEHI MELALUI ATAU AKIBAT PENGGUNAAN FUTUREED PTE LTD, ATAU KETEPATAN KANDUNGAN MAKLUMAT, APA-APA TUJUAN. TANPA MENGEHADKAN KELUASAN YANG TERDAHULU, SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, KCGA TIDAK REPRESENTASI, JAMINAN, ATAU GUARANTY YANG FUTUREED PTE LTD AKAN MEMENUHI KEPERLUAN ATAU JANGKAAN SEBARANG PENGGUNA, BAHAWA FUTUREED PTE LTD AKAN BEBAS, BAHAWA SEBARANG KECACATAN ATAU KESILAPAN AKAN DIPERBETULKAN ATAU BAHAWA DATA, MAKLUMAT, REKOD ATAU KEPUTUSAN LAIN DIPEROLEHI DARI PENGGUNAAN FUTUREED PTE LTD ADALAH TEPAT ATAU BOLEH DIPERCAYAI UNTUK SEBARANG TUJUAN LAIN."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD, ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, KCGA TIDAK AKAN BERTANGGUNGJAWAB TERHADAP SEBARANG PENGGUNA, ATAU MANA-MANA ORANG LAIN UNTUK SEBARANG KHAS, SAMPINGAN, TIDAK LANGSUNG, CAGARAN, TURUTAN, TELADAN ATAU HUKUMAN, SAMA ADA DALAM APA-APA TINDAKAN ATAU KONTRAK, EKUITI, KETAT LIABILITI, TORT (TERMASUK, TETAPI TIDAK TERHAD KEPADA, KECUAIAN) ATAU TEORI LAIN LIABILITI (TERMASUK, TETAPI TIDAK TERHAD KEPADA, PELANGGARAN WARANTI) YANG TIMBUL DARIPADA ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU PRESTASI ATAU KEGAGALAN PENGGUNAAN FUTUREED PTE LTD ATAU RALAT, PENINGGALAN ATAU KETIDAKTEPATAN TERKANDUNG DALAM MANA-MANA DATA, MAKLUMAT, REKOD ATAU HASIL YANG DIPEROLEH MELALUI ATAU AKIBAT PENGGUNAAN FUTUREED PTE LTD ATAU SEBARANG KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD LAIN, MESKIPUN KCGA TELAH DINASIHATKAN KEMUNGKINAN KEROSAKAN ATAU KEMUNGKINAN YANG WAS DIJANGKAKAN SECARA MUNASABAH TERMASUK (TETAPI TIDAK TERHAD KEPADA) GANTI KEHILANGAN PENGGUNAAN, KELEWATAN, KEHILANGAN PERNIAGAAN, KEHILANGAN PENDAPATAN, KEUNTUNGAN ATAU SIMPANAN, KEHILANGAN GANGGUAN PERNIAGAAN, KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD LAIN, KEHILANGAN PRIVASI DAN KEHILANGAN NAMA BAIK, DAN LIABILITI TERHADAP PIHAK KETIGA, YANG TIMBUL DARIPADA ATAU APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU PRESTASI ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD ATAU TIMBUL ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN ATAU BERKAITAN DENGAN PENGGUNAAN ATAU KEGAGALAN MENGGUNAKAN SEBARANG DATA ATAU MAKLUMAT LAIN, REKOD, ATAU KEPUTUSAN DIPEROLEHI MELALUI ATAU AKIBAT PENGGUNAAN ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD, SEBARANG KEHILANGAN ATAU KEROSAKAN DATA ATAU MAKLUMAT ATAU REKOD ATAU TIMBUL DARIPADA SEBARANG KEGAGALAN UNTUK MEMENUHI SEBARANG DUTY, TERMASUK (TETAPI TIDAK TERHAD KEPADA) APA-APA KEWAJIPAN BAIK IMAN ATAU SENAMAN CARE BERPATUTAN SECARA KOMERSIL, ATAU TIMBUL DARIPADA SEBARANG KURSUS BERURUSAN, KURSUS PRESTASI, PENGGUNAAN ATAU TRADE, ATAU SEBALIKNYA, MESKIPUN KCGA OR FUTUREED PTE LTD TELAH DINASIHATKAN KEMUNGKINAN KEROSAKAN ATAU JIKA KEMUNGKINAN YANG WAS DIJANGKAKAN SECARA MUNASABAH."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA’S TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD, OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.","SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, KCGA JUMLAH LIABILITI DAN KEWAJIBAN YANG TIMBUL DARIPADA ATAU APA-APA CARA BERHUBUNG DENGAN ATAU BERKAITAN DENGAN PELANGGAN ATAU PENGGUNAAN SEBARANG PENGGUNAAN ATAU KEGAGALAN MENGGUNAKAN FUTUREED PTE LTD, ATAU HASIL YANG DIPEROLEHI DARI PENGGUNAAN FUTUREED PTE LTD TERHAD KEPADA LANGSUNG KEROSAKAN YANG AKAN TIDAK SEKALI-KALI MELEBIHI SATU RATUS DOLAR SINGAPURA (S $ 100.00) DALAM AGREGAT. MAKSIMUM PANJANGKAN DIBENARKAN OLEH UNDANG-UNDANG, HAD INI DIGUNAPAKAI KIRA SAMA LIABILITI INI BERDASARKAN PELANGGARAN KONTRAK, TORT (TERMASUK, TETAPI TIDAK TERHAD KEPADA, KECUAIAN), LIABILITI KETAT, PELANGGARAN WARANTI, ATAU MANA-MANA TEORI UNDANG-UNDANG LAIN."
