,"ES"
"Attempt to cheat on any assessment on Futureed Pte Ltd, such as enlisting friends, family, acquaintances and associates to help answer the questions.  We respect your integrity, and strongly encourage you to complete the test to the best of your own abilities.","Intentará hacer trampas en ningún examen de Futureed Pte Ltd, al enrolar a familiares, amigos, conocidos y asociados a que ayuden con las respuestas de las preguntas. Respetamos su integridad, y le recomendamos que complete el test con sus mejores habilidades."
"Intellectual Property Rights","Derechos de Propiedad intelectual"
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, “Content”). All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise. The Futureed Pte Ltd site may be used only by you for assessments on Futureed Pte Ltd. These Terms and Conditions of Use do not grant to or create to you, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site. You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you. The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited. Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution."," A no ser que sea indicado lo contrario, KCGA o sus licenciados poseen y retienen todos los derechos de propiedad de la página web y los materiales e información en ella publicada, incluyendo sin limitar fotos, textos, gráficos, logos, iconos, contenido, sonidos grabados, tutoriales, clips de audio/visuales y diseño (conocido colectivamente como ""Contenido"") Todos los materiales contenidos en la Website están sujetos a copyright, excepto en los casos en los que explicitamente se avise de lo contrario. La página de Futureed Pte Ltd sólo puede ser usada por usted y sus empleados, o individuos bajo su control y/o supervisión. Estos Términos y Condiciones de Uso no garantizan o crean en el cliente, usuario o cualquier otra persona ningún interés de propietario o derechos de propiedad intectuales en o a la página de Futureed Pte Ltd o en cualquier otra herramienta, u información u otro contenido incluido o disponible en Futureed Pte Ltd. Usted no puede usar, copiar, reproducir, republicar, cargar, transmitir, distribuir, o modificar las marcas registradas o el contenido sin la autorización expresa de Futureed Pte Ltd en cada caso, a no ser que dicho contenido sea publicado por usted. El uso de los materiales protegidos por copyright de Futureed Pte Ltd o KCGA o de cualquier otra website están totalmente prohibidos. Futureed Pte Ltd y KCGA protegerán de forma agresiva sus derechos de propiedad intelectual con todo el peso de la ley, incluyendo la persecución de los infractores por la vía penal."
"Confidential Information","Información Confidencial"
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential. Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","El término ""Información Confidencial"" incluye estos términos, descripción de tareas, acuerdos de licencias, planes y estrategias de marketing y de negocio, negocios de carácter privado e información tecnológica, secretos empresariales, contenido incluido en los tests por usted, cualquier material escrito marcado como confidencial y cualquier otra información, incluyendo materiales visuales e información oral, que de forma razonable pueda ser entendida como confidencial. Futureed Pte Ltd usará tecnología razonablemente comercial, prácticas adecuadas de la industria para asegurarse la integridad y seguridad de toda la información confidencial en relación a posibles robos, piratería y acceso desautorizado."
"Indemnity Obligation","Obligación de indemnizar"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site. This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material submitted.","Dentro de los límites establecidos por la ley, usted acepta indeminizar y no culpar a KCGA de cualquiera y todas las acusaciones y expensas, incluyendo lo honorarios razonables de un abogado, que se produzcan por el uso de los productos, servicios y website de KCGA. Esta indeminización explicitamente incluye su responsabilidad por cualquier y toda responsabilidad que se produzca por la violación de los copyrights, marcas protegidas u otros derechos de propietarios y del uso de cualquier material ilegal o perjudicial contenido o enviado."
"Right To Terminate","Derecho a cancelar"
"KCGA reserves the right to suspend or terminate your use of the web site and the services at any time, without notice, if you are found in violation of our terms in this agreement.","KCGA se reserva el derecho de suspender o cancelar el uso de la website y los servicios en cualquier momento, sin preaviso, si usted es encontrado llevando a cabo una violación de los términos en este acuerdo."
"DISCLAIMER","Descargo de responsabilidad"
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","Futureed Pte LTD estás suministrado ""tal y como está"" y con ""todos sus errores"" y sin garantía de ningún tipo, el uso de Futureed Pte Ltd se hará a riesgo de los clientes. Al máximo efecto permitido por la ley aplicable, KCGA niega todas las garantías implicitas, y expresas y las condiciones ya sea por estatuto, ley común, cursos de acción, cursos de ejecución, uso comercial, o de otra forma relativo a Futureed Pte LTD incluyendo (pero no limitado a) todas las garantías y condiciones de mercantilidad, calidad mercantilizable, estado óptimo para un uso particular, título, falta de virus y no-incumplimiento. Al máximo efecto permitido por la ley aplicable, Futureed Pte LTD no hace representación, garantía, o garantía relacionada con la sustanibilidad, confiabilidad, sostenibilidad, oportunidad, calidad, exactitud, o plenitud de Futureed Pte LTD, cualquier dato, información, registro o resultados obtenidos a través o como resultados del uso de Futureed Pte LTD, o la exactitud del contenido de la información, para cualquier propósito. Sin limitar la generalidad de lo siguiente, al máximo efecto permitido por la ley aplicable, KCGA no hace ninguna representación o garantía de que Futureed Pte LTD va a responder a cualquier requerimiento de usuarios o expectaciones, de que Futureed Pte LTD estará libre de errores, que ningunos defectos o errores serán corregidos o que los datos de la información, registros u otros resultados obtenidos del uso de Futureed Pte LTD  será exacta o fiable para cualquier otro propósito."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD, ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","Dentro de los límites máximos establecidos por la ley aplicable, KCGA no tendrá responsabilidad ante el cliente, cualquier usuario o cualquier otra persona por cualquier daño especial, accidental, colateral, consecuencia, ejemplar o punitivo, si en cualquier acción, contrato, responsabilidad estricta, agravio (incluyendo pero no limitado por negligencia) o cualquier teoría de responsabilidad (incluyendo pero no limitado a ruptura de garantía) que se resulte de o esté de cualquier forma conectado con o relacionado al uso o desempeño de o inhabilidad de usar Futureed Pte Ltd o cualquier error, omisión o inexactitud contenida en cualquier dato, información, registro o resultados obtenidos por o como resultado del uso de Futureed Pte Ltd o de cualquier pérdida o corrupción de datos, información o registros, o resultados obtenidos debido o como resultado del uso de Futureed Pte Lts o de cualquier pérdida o corrupción de  datos o cualquier información o registro incluso si KCGA ha sido avisado de la posibilidad de que estos daños o de la posibilidad de que dichos daños o que dicha posibilidad sea razonablemente previsible incluyendo (pero no limitado a) daños por pérdida de uso, retraso, pérdida de negocios, pérdida de dinero, benificios o ahorros, pérdidas relacionadas con la interrupción de negocio, pérdida o corrupción de datos u otra información o registro, pérdida de privacidad, y pérdida de buena fe, y responsabilidad de terceros, que surga de o este de cualquier modo conectado o relacionado al uso y rendimiento de o inhabilidad de usar Futureed Pte Ltd o producida por o de cualquier forma conectado con o relacionado al uso o inhabilidad de usar cualquier información, u otros datos, registros, o resultados obtenidos a través o como resultado del uso o inhabilidad de usar Futureed Pte Ltd, cualquier pérdida o corrupción de datos u otra información o registro, o como producto de la imposibilidad de no cumplir cualquier obligación, incluyendo pero no limitado a) cualquier obligación de buena fe o al ejercicio comercialmente razonable del cuidado, o producido por cualquier forma de trato, como consecuencia de la gestión, uso o intercambio o cualquier otro, incluso si KCGA o Futureed Pte Ltd fuera avisado de la posibilidad de que dichos daños o si dicha posibilidad fuera razonablemente predecible."
"Le ofrecemos un servidor seguro. Toda la información suministrada de carácter sensitivo/de crédito es transmitida a través de una tecnología Secure Socket Layer (SSL)","Dentro de los máximos límites establecidos por la ley aplicable, la responsabilidad total de KCGA y las obligaciones que se produzcan de o de cualquier forma conectadas con o relacionadas al cliente o a el uso que cualquier usuario o la inhabilidad de usar Futureed Pte Ltd, o de los resultados obtenidos del uso de Futureed Pte Ltd, está limitado a los daños directos que en ningún caso podrán exceder los cien dólares de Singapur (S$100.00) en total. Dentro de los máximos límites establecidos por la ley aplicable,esta limitación se aplica sin importar si la responsabilidad se basa en una ruptura de contrato, mal uso (incluyendo pero no limitado a negligencia), responsabilidad estricta, ruptura de la garantía o cualquier teoría legal."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","Dentro de los máximos límites establecidos por la ley aplicable, usted no traerá, solicitará, unirá o participará en ninguna actividad de clase o procedimiento de gestión de clase así cómo de ninguna demanda, caso o causa de acción que pueda tener contra KCGA, Futureed Pte Ltd producido por, relacionado con o de cualquier forma conectado al sitio de Futureed Pte Ltd, su uso del sitio de Futureed Pte Ltd o cualquier test u otro producto o servicio obtenido a través del sitio de Futureed Pte Ltd, y usted exhime y retoma cualquier derecho que pueda tener ahora o en el futuro, ha de traer, requerir, unirse o participar en cualquier denuncia o arbitraje o cualquier otro procedimiento en una acción de clase o consolidación o participar como representante o miembro de cualquier clase de demandantes pertenecientes a una demanda, caso o causa de acción producida por, relacionada a o en cualquier forma conectada con el uso de la página de Futureed Pte Ltd o de cualquier test, u otro producto o servicio obtenido a través del sitio de Futureed Pte Ltd. Esta provisión no constituye una disminución de ninguno de sus derechos y recursos para organizar una demanda individualmente, y no por medio de una acción de clase, un proceso de arbitraje de clase o de forma consolidad o como representante o miembro de cualquier clase de denunciantes."
"Severability","Severidad"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","En el caso de que una o más de estas provisiones sean declaradas inválidas, ilegales o no ejecutables, esas provisiones serán modificadas, si es posible al límite mínimo necesario para hacerlos válidos y aplicables, o si no pudieran ser modificados de este modo, y hubieran de ser cancelados, entonces las otras provisiones aquí incluidas no serán afectadas ni modificadas de ninguna forma."
"Jurisdiction and Governing Law","Jurisdicción y Ley Aplicable"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","La validez, construcción, aplicación e interpretación de estos Términos y Condiciones de Uso está gobernado por las leyes de Singapur"
"Waiver","Excención"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Si KCGA no tiene éxito en la aplicación estricta de cualquiera de las provisiones de estos Términos, eso no constituye una excención del derecho de subsequentemente reforzar dicha provisión."
"Your Consent","Consentimiento"
"By using our site, you consent to our terms and conditions as written in this agreement.","Al usar este site, usted consiente con nuestros Términos y Condiciones tal y como están escritos en este acuerdo"
"Contacting Us","Contactarnos"
"If there are any questions regarding this policy you may contact us using the information below.","Si tiene cualquier pregunta con respecto a esta política puede contactarnos usando la información a continuación."
,
,
"Please answer all the questions on this page before proceeding to the next page","Por favor responda a todas las preguntas en esta página antes de continuar a la siguiente página"
"Please read the examples carefully to understand the instructions before clicking NEXT","Por favor lea los ejemplos con cuidado para entender las instrucciones antes de hacer click en SIGUIENTE"
