"DO NOT EDIT","Vietnamese"
"This online privacy policy applies only to information collected through our website and not to information collected offline","Chính sách bảo mật trực tuyến này chỉ áp dụng cho các thông tin thu thập được thông qua trang web của chúng tôi và không để thu thập ngoại tuyến"
"Your Consent","Sự đồng ý của bạn"
"By using our site, you consent to our websites privacy policy.","Bằng cách sử dụng trang web của chúng tôi, bạn đồng ý với chính sách bảo mật của chúng tôi."
"Contacting Us","Liên hệ với chúng tôi"
"If there are any questions regarding this policy you may contact us using the information below.","Nếu có bất kỳ câu hỏi liên quan đến chính sách này, bạn có thể liên hệ với chúng tôi theo thông tin dưới đây."
"FUTUREED CANDIDATE TERMS AND CONDITIONS","Điều khoản và điều kiện dành cho thí sinh của Futureed"
"Thank you for choosing Futureed Pte Ltd. We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner. To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way. These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Cảm ơn bạn đã lựa chọn Futureed Pte Ltd. Chúng tôi dự định sẽ cung cấp cho bạn một sản phẩm tốt nhất trong ngành công nghiệp có chất lượng cao, giá cả cạnh tranh và đáng tin cậy về mặt kỹ thuật. Để đạt được mục tiêu đó, chúng ta cần phải làm một số giấy tờ pháp lý để đảm bảo rằng dịch vụ của chúng tôi đang được sử dụng một cách hợp lý, an toàn và hợp pháp. Những điều khoản có thể được cập nhật theo thời gian. Thông báo về việc thay đổi những điều khoản sẽ hiển thị trên trang này."
"Introduction","Lời giới thiệu"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessment platform for assessment tools to remotely test candidates on areas of psychometric abilities and personality. The two entities are used interchangeably for legal purposes. By registering to use Futureed Pte Ltd, you are consenting to the terms and conditions as follows in this agreement. We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd được vận hành bởi Kosh Consulting Group (Asia) Pte Ltd (KCGA) và cung cấp những công cụ đánh giá trực tuyến nhằm kiểm tra các thí sinh từ xa trong phạm vi khả năng tâm lý và tính cách.Cả 2 thực thể được sử dụng thay thế cho nhau trong các mục đích hợp pháp. Bằng cách đăng ký sủ dụng Futureed, bạn đã đồng ý với các điều khoản và điều kiện như bên dưới trong bạn thỏa thuận này.Đồng thời chúng tôi cũng có chính sách bảo mật mà bạn có thể tìm thấy trên trang chủ của chúng tôi."
"Responsibility for Use","Trách nhiệm sử dụng"
"As the account user or user of Futureed Pte Ltd, you assume full responsibility for all use of Futureed Pte Ltd. You represent, warrant, and covenant that:","Là người sử dụng tài khoản hoặc người dùng của Futureed Pte Ltd, bạn chịu toàn bộ trách nhiệm cho các mục đích sử dụng Futureed Pte Ltd mà bạn đại diện, bảo đảm, và cam kết rằng:"
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Bạn sẽ phải đảm bảo rằng biện pháp bảo vệ hợp lý được đưa ra để bảo vệ mật khẩu của bạn. Bạn phải biết rằng chúng tôi không có quyền truy cập vào mật khẩu của bạn và bạn phải tạo một mật khẩu mới trong trường hợp bạn bị mất hoặc quên mật khẩu của bạn."
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Chúng tôi sẽ có quyền xóa tài khoản Futureed Pte Ltd của bạn và tất cả các hồ sơ liên quan sau một thời gian 18 tháng không hoạt động trên tài khoản trong Futureed Pte Ltd của bạn."
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Là một người dùng có trách nhiệm, bạn phải đảm bảo rằng sẽ không sử dụng trang chủ Futureed Pte hay bất kỳ sản phẩm và dịch vụ nào được cung cấp hoặc có sẵn trên trang chủ Futureed Pte vào mục đích bất hợp pháp."
"Specifically, you agree to not use the Service to:","Đặc biệt, bạn phải đảm bảo không sử dụng dịch vụ để:"
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Sử dụng bất kỳ thiết bị, phần mềm hay thủ tục nào để can thiệp hoặc cố gắng can thiệp vào hoạt động riêng biệt của trang chủ Futureed Pte Ltd hoặc bất kỳ hoạt động nào đang được tiến hành trên các trang Futureed Pte Ltd."
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức khác liên quan đến nội dung trái pháp luật, gây hại, đe dọa, lăng mạ, quấy rối, sai trái, phỉ báng, khiếm nhã, tục tĩu, khiêu dâm, bôi nhọ, xâm phạm người khác"
"Harm minors in any way;","Gây hại đến trẻ vị thành niên hại bằng bất kỳ cách nào;"
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Mạo danh bất kỳ người hay tổ chức nào nhưng không giới hạn, bao gồm viên chức của KCGA hay máy chủ, hoặc tuyên bố sai lệch hay xuyên tạc một cá nhân vả tổ chức;"
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Giả mạo tiêu đề hoặc điều khiển các định dạng để che giấu nguồn gốc của bất kỳ nội dung nào được truyền thông qua Futureed;"
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến nội dung mà bạn không có quyền tạo ra theo bất kỳ luật lệ, các mối quan hệ hợp đồng hay ủy thác (chẳng hạn như thông tin nội bộ, thông tin độc quyền và bảo mật được biết đến hoặc tiết lộ trong các mối quan hệ lao hoặc theo những cam kết không được tiết lộ thông tin mật);"
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến nội dung vi phạm bằng sáng chế, thương hiệu, bí mật thương mại, bản quyền hoặc các quyền sở hữu khác của bất kỳ bên nào:"
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến quảng cáo trái phép, tư liệu quảng cáo, thư rác, thư dây chuyền, mô hình Kim Tự Tháp hay bất kỳ hình thức lôi kéo nào, ngoại trừ những phạm vi được chỉ định rõ cho những mục đích đó (như mua sắm chẳng hạn)"
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Đăng tải, đăng, gửi email, truyền tải hay bất kỳ phương thức nào khác liên quan đến tài liệu chứa các phần mềm vi-rút hoặc các mã số máy tính khác, các tập tin hoặc các chương trình được thiết kế để gây cản trở, phá hỏng hoặc hạn chế các chức năng của bất kỳ bộ phận nào của Futureed;"
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Làm gián đoạn luồng chạy ổn định của các cuộc đối thoại, khiến cho màn hình ""chạy"" nhanh hơn so với tốc độ đánh máy của những người dùng khác sử dụng dịch vụ hoặc có hành động gây ảnh hưởng tiêu cực đến những người dùng khác "
"Interfere","Gây cản trở"
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Cố ý hoặc vô ý vi phạm pháp luật, đạo luật, quy định, điều khoản, quy tắc hay bộ Luật không giới hạn bao gồm bất kỳ điều khoản, quy tắc, thông báo, hướng dẫn hoặc chỉ thị của bất kỳ cơ quan chức năng hay chính quyền, cơ quan chính phủ hay quốc gia hoặc các giao dịch khác;"
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Cung cấp vật liệu hỗ trợ hoặc các nguồn (hoặc để che giấu hoặc ngụy tạo bản chất, vị trí, nguồn gốc, hoặc quyền sở hữu các tài liệu hỗ trợ hoặc các nguồn) cho bất kỳ tổ chức nào của Singapore, quốc gia của bạn hoặc chính phủ Hoa Kỳ như là một tổ chức khủng bố nước ngoài;"
"""stalk"" or otherwise harass another;","""Lén theo dõi"" hoặc quấy rối người khác;"
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Cam kết rằng bất kỳ hành động nào lừa dối hoặc bất hợp pháp, dù có liên quan đến bất kỳ bên cung cấp thứ ba của các sản phẩm và dịch vụ trên dịch vụ hoặc hình thức khác và / hoặc"
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Thu thập hoặc lưu trữ dữ liệu cá nhân về người dùng khác trong kết nối với các hành vi bị cấm và các hoạt động nêu trong thỏa thuận này;"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu gây ra mối đe dọa hoặc ảnh hưởng bất lợi đến an ninh quốc gia Singapore"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu gây ra mối đe dọa hoặc ảnh hưởng bất lợi đến sự hòa hợp chủng tộc ở Singapore;"
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Tạo lập, trưng bày, chuyển giao, hoặc chiếm các tư liệu vi phạm luật sở hữu trí tuệ;"
"Use of machines, computers, scripts, “bots” or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","Sử dụng các loại máy móc, máy vi tính, bản thảo, các phần mềm tự động hay bất kỳ hệ thống tự động mào trên Futureed Pte Ltd đều bị nghiêm cấm và có thể phải chịu trách nhiệm hình sự. Futureed Pte Ltd có thể tùy ý chấm dứt và truất quyền vĩnh viễn bất kỳ người dùng naò được xác định là vi phạm các điều khoản dịch vụ này. Tất cả các quyền quyết định sau cùng là của Futureed Pte Ltd;"
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd có thể sẽ bao gồm các siêu liên kết đến các trang web được điều hành bởi các bên khác bao gồm các nhà quảng cáo và các nhà cung cấp nội dung. Những trang web này có thể thu thập dữ liệu hoặc thông tin cá nhân của bạn. Futureed Pte Ltd không kiểm soát các trang web như vậy cũng như không chịu trách nhiệm về nội dung của những trang đó, chính sách bảo mật, hoặc các thông tin thu thập, sử dụng hay tiết lộ bất kỳ thông tin mà các trang này có thể thu thập."
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd và KCGA không đảm bảo về tính chính xác, đúng đắn, hay đầy đủ của bất kỳ thông tin nào trên các trang web, các cuộc khảo sát, cơ sở dữ liệu hoặc kết quả, cũng như không chịu trách nhiệm 1) đối với bất kỳ lỗi hay thiếu sót phát sinh từ việc sử dụng các thông tin đó; 2) đối với bất kỳ thất bại, sự chậm trễ, hoặc gián đoạn trong việc truyền tải các nội dung bất kỳ hoặc các dịch vụ có trên các máy chủ của chúng tôi; hoặc 3) những tổn thất hay thiệt hại phát sinh từ việc sử dụng các nội dung hoặc dịch vụ được cung cấp bởi chúng tôi."
"Futureed Pte Ltd products and services are created based on the integrity of the users using the assessments. As a responsible and user with integrity, by using the assessments on Futureed Pte Ltd, you agree to be personally honest and to treat others with respect and courtesy in terms of taking any assessment at Futureed Pte Ltd. You agree that you have neither received nor been given assistance on the assessment and will not attempt to undermine the test by copying, cheating or plagiarizing questions or answers. You will also not infringe on the intellectual property rights of the owners of the content by distributing the content without permission. If you do so, you are aware that you will be liable for any subsequent consequences related to intellectual property rights infringement actions by us.","Sản phẩm và dịch vụ của Futureed Pte Ltd được tạo ra dựa trên tính toàn vẹn của người dùng bằng cách sử dụng các đánh giá. Là một người dùng có trách nhiệm, bằng cách sử dụng các đánh giá về Futures Pte Ltd, bạn phải đồng ý luôn trung thực và cư xử với người khác một cách tôn trọng và lịch sự khi đưa ra bất kỳ đánh giá nào trên Futureed Pte Ltd. Bạn đồng ý rằng bạn không nhận và cũng không được hỗ trợ trong việc đánh giá và sẽ không hủy hoại các thử nghiệm bằng cách sao chép, gian lận hay lấy cắp ý các câu hỏi cũng như câu trả lời. Bạn cũng không được xâm phạm quyền sở hữu trí tuệ của chủ sở hữu nội dung bằng cách phân phát nội dung mà không được phép. Nếu bạn thực hiện điều đó, bạn phải biết rằng bạn sẽ chịu trách nhiệm pháp lý cho bất kỳ hậu quả nào liên quan đến những hành động vi phạm quyền sở hữu."
"You also specifically agree that you will not,","Đặc biệt, bạn cũng phải đồng ý rằng bạn sẽ không:"
"Attempt to copy or share the questions and answers with your friends, family, acquaintances and associates.","Cố ý sao chép hoặc chia sẻ các câu hỏi và câu trả lời với bạn bè, gia đình, người quen và các cộng sự."
"Attempt to cheat on any assessment on Futureed Pte Ltd, such as enlisting friends, family, acquaintances and associates to help answer the questions. We respect your integrity, and strongly encourage you to complete the test to the best of your own abilities.","Cố ý gian lận trên bất kỳ đánh giá nào trên Futures Pte Ltd, như tranh thủ sự giúp đỡ từ bạn bè, gia đình, người quen và các cộng sự để trả lời các câu hỏi. Chúng tôi tôn trọng sự toàn vẹn của bạn, và khuyến khích bạn hoàn thành các bài kiểm tra với khả năng tốt nhất của bạn."
"Intellectual Property Rights","Quyền sở hữu trí tuệ"
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, “Content”). All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise. The Futureed Pte Ltd site may be used only by you for assessments on Futureed Pte Ltd. These Terms and Conditions of Use do not grant to or create to you, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site. You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you. The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited. Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","Trừ khi có những chỉ thị khác, KCGA hoặc người cấp giấy phép sở hữu và giữ lại tất cả các quyền sở hữu trong các trang web và tất cả các tài liệu cũng như thông tin được đăng tải, không bao gồm hình ảnh giới hạn, văn bản, đồ họa, logo, biểu tượng, nội dung, ghi âm, hướng dẫn, âm thanh / clip hình ảnh và thiết kế (gọi chung là ""Nội dung""). Tất cả các tư liệu chứa trên trang chủ đều có bản quyền, trừ khi có ghi chú rõ ràng khác. Trang chủ Futureed Pte Ltd có thể chỉ được sử dụng bởi bạn và các nhân viên của bạn, hay những các nhân dưới sự kiểm soát của bạn và/hoặc giám sát viên. Các điều khoản và điều kiện sử dụng không được cấp hay tạo lập cho khách hàng, người dùng hay cá nhân nào, quyền sỡ hữu lợi tức và các quyền sở hữu trí tuệ trên trang chủ Futureed Pte Ltd hay bất kỳ công cụ đáng giá, thông tin hoặc nội dung bao gồm hay có sẵn trên trang chủ Futureed Pte Ltd. Bạn không thể sử dụng, sao chép, tái sản xuất, tái bản, đăng tải, đăng, truyền tải, phân phối hay sửa đổi những thương hiệu hoặc nội dung mà không có sự chấp thuận rõ ràng của Futureed Pte Ltd cho mỗi trường hợp, trừ khi nội dung đó được đăng bởi chính bạn. Việc sử dụng tư liệu bản quyền của Futureed Pte Ltd hay KCGA trên bất kỳ trang web khác bị nghiêm cấm. Futureed Pte Ltd và KCGA sẽ mạnh tay thực thi quyền sở hữu trí tuệ của mình đến mức tối đa của pháp luật, bao gồm việc theo đuổi truy tố hình sự."
"Confidential Information","Thông tin bảo mật"
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential. Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","Thông tin bảo mật bao gốm những điều khoản, các báo cáo công việc, giấy phép thỏa thuận, kế hoạch chiến lược kinh doanh và tiếp thị, thông tin kinh doanh và công nghệ không công khai, bí mật thương mại, nội dung được bao gồm trong bản đánh giá của bạn, bất kỳ văn bản tài liệu nào được đánh dấu là bảo mật và thông tin khác bao gồm thông tin hình ảnh và thông tin truyền miệng có lý do hợp lý để được bảo mật. Futureed Pte Ltd sẽ sử dụng công nghệ hợp lý về phương diện thương mại, những thử nghiệm tốt nhất trong ngành công nghiệp để đảm bảo tính toàn vẹn và bảo mật của tất cả thông tin bảo mật đối với hành vi trộm cắp, vi phạm bản quyền và truy cập trái phép"
"Indemnity Obligation","Nghĩa vụ bồi thường"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site. This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material submitted.","Trong phạm vi pháp luật cho phép, bạn phải đồng ý bồi thường và vô hại đối với bất kỳ và tất cả các yêu cầu cũng như phí tổn cho KCGA phát sinh từ việc sử dụng các sản phẩm, dịch vụ và trang web này của KCGA, bao gồm cả phí luật sư hợp lý . Phí bồi thường này bao gồm chính xác trách nhiệm của bạn cho bất kỳ và tất cả trách nhiệm pháp lý phát sinh từ việc phá rối hoặc vi phạm bản quyền, thương hiệu hoặc các quyền sở hữu khác và từ việc sử dụng bất kỳ tài liệu bôi nhọ hoặc bất hợp pháp."
"Right To Terminate","Quyền chấm dứt"
,
"DISCLAIMER","Quyền từ chối chịu trách nhiệm"
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","Futureed Pte Ltd được cung cấp nguyên trạng và ""chứa tất cả các lỗi"" và không đảm bảo bất kỳ tính chất nào, hay việc sử dụng Futureed Pte Ltd là rủi ro riêng của mội người dùng. Trong phạm vi tối đa pháp luật cho phép, KCGA từ chối tất cả cách biểu hiện cũng như ngụ ý bảo đảm và điều kiện cho dù là theo đạo luật, luật chung, tục lệ, tiến trình giao dịch, tiến trình thực hiện, sử dụng thương mại, v.v.. có liên quan đến Futureed Pte Ltd bao gốm tất cả những cam kết và điều kiện mang tính thương mại, chất lượng thương mại phù hợp với mục đích cụ thể, chức vụ, thiếu vi-rút và không vi phạm. Trong phạm vi tối đa pháp luật cho phép, Futureed Pte Ltd sẽ không phản kháng, đảm bảo hay cam kết liên quan đến sự phù hợp, đáng tin cậy, tính sẵn có, kịp thời, chất lượng, độ chính xác hay đầy đủ của Futureed Pte Ltd, bất kỳ dữ liệu, thông tin, hồ sơ hay kết quả đạt được thông qua hay bởi do việc sử dụng Futureed Pte Ltd, hoặc độ chính xác của nội dung thông tin với bất kỳ mục đích nào. Không giới hạn bởi phần lớn các điều đã để cập trên, trong phạm vi tối đa pháp luật cho phép, KCGA sẽ không phản kháng, đảm bảo hay cam kết rằng Futureed Pte Ltd sẽ đáp ứng bất kỳ nhu cầu hay kỳ vọng nào của người dùng; không đảm bảo rằng Futureed Pte Ltd sẽ miễn nhiễm với lỗi, hay bất kỳ thiếu sót hoặc lỗi sẽ được sửa chữa; hoặc dữ liệu, thông tin, hồ sơ hay kết quả khác đạt được từ việc sử dụng Futureed Pte Ltd sẽ chính xác và đáng tin cậy cho bất kỳ mục đích nào khác."
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD, ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","Trong phạm vi tối đa pháp luật cho phép, KCGA sẽ không chịu trách nhiệm với khách hàng, người dùng hay bất kỳ cá nhân nào khác cho bất cứ trường hợp đặc biệt, ngẫu nhiên, gián tiếp, có thế chấp, gây hậu quả, để cảnh báo hay phạt tiền thiệt hại, cho dù trong bất kỳ hành động hay hợp đồng, hợp lý, trách nhiệm pháp lý nghiêm ngặt, trách nhiệm dân sự (bao gồm do sơ xuất) hay các lý thuyết khác của trách nghiệm pháp lý (bao gồm vi phạm cam kết) phát sinh từ việc liên kết với hoặc liên quan đến việc sử dụng và thực hiện hoặc không có khả năng sử dụng Futureed Pte Ltd và bất kỳ lỗi, thiết sót hoặc thiếu chính xác nào trong dữ liệu, thông tin, hồ sơ hay kết quả đạt được thông qua hay do bởi việc sử dụng Futureed Pte Ltd hay từ bất kỳ mất mát hư hỏng dữ liệu và thông tin hồ sơ khác; thậm chí nếu KCGA đã được thông báo về khả năng xảy ra các thiệt hại hoặc khả năng dự đoán trước được bao gồm các thiệt hại về việc sử dụng, trì hoãn, tổn thất kinh doanh, tổn thất về doanh thu, lợi nhuận hoặc tiền tiết kiệm, gián đoạn kinh doanh, mất mát hoặc hư hỏng dữ liệu cũng như thông tin hay hồ sơ, mất sự riêng tư, mất thiện chí và trách nhiệm pháp lý cho bên thứ ba, phát sinh từ việc liên quan đến việc sử dụng, thực hiện hoặc không có khả năng sử dụng bất kỳ dữ liệu hay thông tin, hồ sơ hoặc kết quả đạt được thông qua việc sử dụng hoặc không có khả năng sử dụng Futureed Pte Ltd; bất kỳ mất mát hay hư hỏng dữ liệu hay thông tin, hồ sơ phát sinh từ việc không đáp ứng được nhiệm vụ, bao gồm bất kỳ nhiệm vụ giữ đúng cam kết hoặc đển thực hiện bảo dưỡng thương mại hợp lý hay phát sinh theo chiều hướng xử lý, chiều hướng thực hiện, cách sử dụng hoặc thương mại, hay thậm chí nếu KCGA và Futureed Pte Ltd được thông báo về khả năng thiệt hại và khả năng đó có thể đoán trước được"
