"DO NOT EDIT","Mynmmar"
"Interfere","နှောင့်ယှက်ခြင်း"
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","အာဏာပိုင်အဖွဲ့၊ အစိုးရအေဂျင်စီ သို့မဟုတ် အမျိုးသားရေး သို့မဟုတ် အခြားလုံခြုံရေး လဲလှယ်မှုတို့၏ စည်းမျဉ်းစည်းကမ်းများ၊ သတိပေးချက်များ၊ ညွှန်ကြားချက်များ သို့မဟုတ် လမ်းညွှန်ချက်များ အပါအဝင် ကန့်သတ်မထားသော သက်ဆိုင်ရာဥပဒေ၊ ပညတ်ချက်၊ ထုံးစံ၊ စည်းမျဉ်း စည်းကမ်း သို့မဟုတ် ကျင့်ဝတ်တို့ကို ရည်ရွယ်ချက်ရှိရှိ သို့မဟုတ် မရည်ရွယ်ဘဲ ဖောက်ဖျက်ခြင်း"
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","စင်္ကာပူ၊ သင့်နိုင်ငံ သို့မဟုတ် အမေရိကန်ပြည်ထောင်စုအစိုးရမှ နိုင်ငံခြားအကြမ်းဖက်အဖွဲ့အစည်း အဖြစ် သတ်မှတ်ထားသည့်အဖွဲ့အစည်းများသို့ ပစ္စည်းအထောက်အပံ့ သို့မဟုတ် ရင်းမြစ်များ ပေးအပ်ခြင်း (သို့မဟုတ် ပစ္စည်းအထောက်အပံ့ သို့မဟုတ် ရင်းမြစ်များ၏ သဘောသဘာဝ၊ တည်နေရာ၊ အရင်းအမြစ်၊ သို့မဟုတ် ပိုင်ဆိုင်မှုကို ဖုံးကွယ်ခြင်း သို့မဟုတ် ပုံဖျက်ခြင်း)"
"""stalk"" or otherwise harass another;","အခြားတစ်ယောက်ကို ""တွယ်ကပ်ခြင်း"" သို့မဟုတ် အခြားနည်းဖြင့် နှောင့်ယှက်ခြင်း"
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","ဤဝန်ဆောင်မှု၏ ထုတ်ကုန်နှင့်ဝန်ဆောင်မှုများနှင့် ပတ်သက်ပြီး ကြားခံပေးအပ်သူနှင့် ဆက်စပ်သည်ဖြစ်စေ လိမ်လည်သော၊ တရားမဝင်သော အပြုအမူ ဆောင်ရွက်ခြင်း သို့မဟုတ်"
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","ဤသဘောတူညီချက်၌ ဖော်ပြထားသော ကျင့်ဝတ်နှင့် လှုပ်ရှားမှုများနှင့် ဆက်စပ်ပြီး အခြားအသုံးပြုသူများနှင့် ပတ်သက်သည့် ပုဂ္ဂိုလ်ရေးဆိုင်ရာအချက်အလက်များကို စုဆောင်းခြင်း သို့မဟုတ် သိုလှောင်သိမ်းဆည်းခြင်း"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","စင်္ကာပူနိုင်ငံ၏ အမျိုးသားလုံခြုံရေးကို ခြိမ်းခြောက်မှု သို့မဟုတ် ဆိုးရွားစွာ သက်ရောမှု ဖြစ်စေသည့် အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","စင်္ကာပူတွင် လူမျိုးရေးသဟဇာတ ဖြစ်မှုကို ခြိမ်းခြောက်မှု သို့မဟုတ် ဆိုးရွားစွာ သက်ရောမှု ဖြစ်စေသည့် အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
"Create, display, transmit, or obtain materials that violates intellectual property laws;","ဉာဏပစ္စည်း မူပိုင်ခွင့် ဥပဒေများကို ချိုးဖောက်သော အကြောင်းအရာများကို ဖန်တီး၊ ဖော်ပြ၊ လွှင့်ထုတ်၊ ရယူခြင်း"
"Use of machines, computers, scripts, “bots” or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","စက်များ၊ ကွန်ပျူတာများ၊ စာသားများ၊ ""bot များ"" သို့မဟုတ် Futures Pte Ltd ၏ အလိုအလျောက် စနစ်များကို အသုံးပြုခြင်းကို တင်းကြပ်စွာတားမြစ်သလို ယင်းတို့သည် ရာဇဝတ်မှု မြောက်စေနိုင်ပါသည်။ ဝန်ဆောင်မှု၏ အဆိုပါ စည်းမျဉ်းများ ချိုးဖောက်သည်ဟု Futures Pte Ltd က ၎င်း၏ တစ်ဦးတည်း ဆုံးဖြတ်ချက်ဖြင့် သတ်မှတ်သော မည်သည့်အသုံးပြုသူကိုမဆို ရပ်ဆိုင်းခြင်း၊ ထာဝရ ပိတ်သိမ်းခြင်းတို့ ဆောင်ရွက်နိုင်ပါသည်"
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd တွင် ကြော်ငြာရှင်များနှင့် အခြားအကြောင်းအရာကို ပံ့ပိုးပေးသူများ အပါအဝင် Futureed Pte Ltd အပြင် အခြားသူများက ဆောင်ရွက်သည့် ဝက်ဘ်ဆိုက်များသို့ သွားသော hyperlink များ ပါဝင်နိုင်ပါသည်။ ထိုဆိုက်များသည် သင့်ကိုယ်ရေးကိုယ်တာ အချက်အလက်များကို မြှူဆွယ်တောင်းခံနိုင်ပါသည်။ Futureed Pte Ltd မှထိုကဲ့သို့သော Website များမထိန်းချုပ်သလို ထိုဆိုက်များက စုဆောင်းနိုင်သော အချက်အလက်များ စုဆောင်း၊ အသုံးပြု၊ ထုတ်ပြောမှုအတွက် ၎င်းတို့၏ အကြောင်းအရာများ၊ ကိုယ်ရေးကိုယ်တာ မူဝါဒများ သို့မဟုတ် စုဆောင်းခြင်းတို့အတွက် တာဝန်မရှိပါ"
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd နှင့် KCGA တို့သည် ထိုဝက်ဘ်ဆိုက်များ၊ စစ်တမ်းများ၊ ဒေတာဘေ့စ်များ သို့မဟုတ် ရလဒ်များ၏ တိကျမှု၊ မှန်ကန်မှု သို့မဟုတ် ပြည့်စုံမှု တို့အတွက် အာမ မခံပါ။ ထိုပြင် အောက်ပါတို့အတွက်လည်း တာဝန်မယူပါ။ ၁) ထိုအချက်အလက်များ အသုံးပြုခြင်းမှ ဖြစ်ပေါ်လာသော မှားယွင်းမှုများ၊ ပျက်ကွက်မှုများ၊ ၂) ကျွန်ုပ်တို့ ဆာဗာများတွင် ပါဝင်သော အကြောင်းအရာ သို့မဟုတ် ဝန်ဆောင်မှုများ ပေးပို့မှုကို နှောင့်ယှက်မှုများ၊ နှောင့်နှေးမှုများ၊ သို့မဟုတ် ကြားဖြတ်မှုများ၊ သို့မဟုတ် ၃) ကျွန်ုပ်တို့ ပေးအပ်သော အကြောင်းအရာ သို့မဟုတ် ဝန်ဆောင်မှုများ အသုံးပြုရာမှ ဖြစ်ပေါ်လာသော ဆုံးရှုံးမှု သို့မဟုတ်ပျက်စီးမှုများ"
"Futureed Pte Ltd products and services are created based on the integrity of the users using the assessments. As a responsible and user with integrity, by using the assessments on Futureed Pte Ltd, you agree to be personally honest and to treat others with respect and courtesy in terms of taking any assessment at Futureed Pte Ltd. You agree that you have neither received nor been given assistance on the assessment and will not attempt to undermine the test by copying, cheating or plagiarizing questions or answers. You will also not infringe on the intellectual property rights of the owners of the content by distributing the content without permission. If you do so, you are aware that you will be liable for any subsequent consequences related to intellectual property rights infringement actions by us.","Futureed Pte Ltd မှ ထုတ်ကုန်များနှင့် ဝန်ဆောင်မှုများသည် အသုံးပြုသူများ၏ အကဲဖြတ်သုံးပြီး ဂုဏ်သိက္ခာရှိမှုအပေါ် အခြေခံပြီး ဖန်တီးထားပါသည်။ ဂုဏ်သိက္ခာရှိသော အသုံးပြုသူအဖြစ် Futures Pte Ltd မှ အကဲဖြတ် အသုံးပြုခြင်းအားဖြင့်  အခြားသူများကို လေးလေးစားစား ရိုးသားစွာ ဆက်ဆံရန် သင်ကသဘောတူပါသည်။ အဖြေများကို မိတ္တူကူးခြင်း၊ လိမ်လည်ခြင်း၊ ကူးယူခြင်းဖြင့် ပျက်ယွင်းစေအောင် အားမထုတ်ရန် သဘောတူသည်။ အကြောင်းအရာ ပိုင်ရှင်များ၏ ခွင့်ပြုချက်မရှိဘဲအကြောင်းအရာဖြန့်ဖြူးခြင်းအားဖြင့် အသိဉာဏ်ပစ္စည်းဥစ္စာပိုင်ဆိုင်မှု အခွင့်အရေးများအပေါ် ချိုးဖောက်လိမ့်မည်မဟုတ်ပါ။ ထိုသို့ ပြုမူလျှင် ဆက်စပ်သော မည်သည့်နောက်ဆက်တွဲ အကျိုးဆက်များကိုမဆို သင်တို့က တာဝန်ယူရမည်ြစ်ကြောင်း ကောင်းစွာ သတိပြုမိပါသည်"
"You also specifically agree that you will not,","သင်က အောက်ပါတို့ကို မပြုလုပ်ရန် အထူးသဘောတူပါသည်"
"Attempt to copy or share the questions and answers with your friends, family, acquaintances and associates.","မေးခွန်းတွေနဲ့အဖြေကို သင်၏မိတ်ဆွေများ, မိသားစု, အသိမိတ်ဆွေတွေနဲ့အပေါင်းအသင်းများနှင့် ကူးယူ သို့မဟုတ်မျှဝေဖို့ကြိုးစားခြင်း"
"Attempt to cheat on any assessment on Futureed Pte Ltd, such as enlisting friends, family, acquaintances and associates to help answer the questions. We respect your integrity, and strongly encourage you to complete the test to the best of your own abilities.","ထိုကဲ့သို့သော မေးခွန်းများကိုဖြေဆိုကူညီပေးဖို့ မိတ်ဆွေများ၊ မိသားစု၊ အသိမိတ်ဆွေများနှင့် အပေါင်းအသင်းများကို စာရင်းသွင်းမှုဖြင့် Futures Pte Ltd အပေါ် အကဲဖြတ်မှုကို လိမ်လည်ရန် ကြိုးစားခြင်း။ သင့်ဂုဏ်သိက္ခာကို ကျွန်ုပ်တို့က လေးစားပြီး၊ သင့်ကိုယ်ပိုင်စွမ်းရည်ကို အကောင်းဆုံးအသုံးချရန် ပြင်းပြင်းထန်ထန် တိုက်တွန်းပါသည်"
"Intellectual Property Rights","ဉာဏပစ္စည်း မူပိုင်ခွင့်"
"Unless otherwise indicated, KCGA or its licensors own and retain all proprietary rights in the website and all material and information posted thereon, including without limitation photographs, text, graphics, logos, icons, content, sound recording, tutorials, audio/visual clips and design (collectively, “Content”). All of the materials contained on the Website are copyrighted, except where explicitly noted otherwise. The Futureed Pte Ltd site may be used only by you for assessments on Futureed Pte Ltd. These Terms and Conditions of Use do not grant to or create to you, any user, or any other person any proprietary interest or intellectual property rights in or to the Futureed Pte Ltd site or any assessment tools, or information or other content comprising or available on the Futureed Pte Ltd site. You may not use, copy, reproduce, republish, upload, post, transmit, distribute, or modify the trademarks or the Content, without the express permission of Futureed Pte Ltd in each instance, unless such Content is posted by you. The use of Futureed Pte Ltd or KCGA copyrighted materials on any other website is strictly prohibited. Futureed Pte Ltd and KCGA will aggressively enforce its intellectual property rights to the fullest extent of the law, including the seeking of criminal prosecution.","အခြားနည်းဖြင့် မဖော်ပြထားပါက KCGA သို့မဟုတ် ၎င်း၏လိုင်စင်ပေးသူများသည် စာသား၊ ဂရပ်ဖစ်၊ အမှတ်တံဆိပ်၊ ရုပ်ပုံများ၊ အကြောင်းအရာ၊ အသံဖမ်းမှု၊ ဗီဒီယိုအပိုင်းနှင့် ဒီဇိုင်း (စုပေါင်းခေါ်ဆိုပါက ""အကြောင်းအရာများ"") အပါအဝင် ယခု ပို့စ်တင်ထားသော အကြောင်းအရာအားလုံးနှင့် အချက်အလက်တို့၏ မူပိုင်ခွင့်အားလုံးကို ပိုင်ဆိုင်ပါသည်။ ဝက်ဘ်ဆိုက်ပေါ်တွင် ပါရှိသော အကြောင်းအရာ အားလုံးသည် အတိအလင်း မဖော်ပြထားလျှင် မူပိုင်ခွင့် ရရှိပြီးဖြစ်ပါသည်။ Futureed Pte Ltd ဆိုက်ကို သင် သို့မဟုတ် သင့်ဝန်ထမ်းများ၊ သင့်ထိန်းချုပ် ကြီးကြပ်မှုအောက်မှ လူများကသာ အသုံးပြုနိုင်ပါသည်။ ဤအသုံးပြုမှု စည်းမျဉ်းစည်းကမ်းများသည် ဖောက်သည်၊ အသုံးပြုသူ၊ အခြားသူတို့အား Futureed Pte Ltd ဆိုက်မှ မည်သည့်စီးပွားဖြစ် အကျိုးစီးပွား သို့မဟုတ် ဉာဏပစ္စည်း ပိုင်ဆိုင်မှုအခွင့်အရေး၊ သို့မဟုတ် Futureed Pte Ltd ဆိုက်ပေါ်မှ အချက်အလက်များ သို့မဟုတ် အခြားအကြောင်းအရာများ ကိုမျှ မပေးအပ်ပါ။ အမှတ်တံဆိပ်များ၊ အကြောင်းအရာများကို Futureed Pte, Ltd ၏ ရှင်းလင်းသော ခွင့်ပြုချက်မပါဘဲ မိတ္တူပွားခြင်း၊ ပြန်လည်ထုတ်ဝေခြင်း၊ အင်တာနက်ပေါ် တင်ခြင်း၊ စာပို့ခြင်း၊ ထုတ်လွှင့်ခြင်း၊ ဖြန့်ဝေခြင်း၊ ပြင်ဆင်ခြင်းတို့ကို၊ ထိုအကြောင်း အရာများသည် သင်ကပို့စ် တင်ထားခြင်းမဟုတ်လျှင်၊ သင်က မဆောင်ရွက်နိုင်ပါ။ Futureed Pte Ltd နှင့် KCGA မူပိုင်ခွင့် ရထားသည့် အကြောင်းအရာများကို အခြားမည်သည့် ဝက်ဘ်ဆိုက်တွင်မဆို အသုံးပြုမှုကို တင်းကြပ်စွာတားမြစ်သည်။ Futureed Pte Ltd နှင့် KCGA သည် ၎င်း၏ဉာဏပစ္စည်း မူပိုင်ခွင့်ကို ဥပဒေ သက်ရောက်စေရန် ပြစ်မှုဆိုင်ရာ တရားစွဲဆိုမှုများ အပါအဝင် ဥပဒေ သက်ရောက်မှု အပြည့်အဝဖြင့် အင်တိုက်အားတိုက် ဆောင်ရွက်ပါမည်"
"Confidential Information","လျှို့ဝှက် အချက်အလက်"
"Confidential Information includes these terms, statements of work, license agreements, business and marketing plans and strategies, non-public business and technology information, trade secrets, Content included in assessments by you, any written materials marked as confidential and any other information, including visual and oral information, which reasonably should be understood to be confidential. Futureed Pte Ltd will use commercially reasonable technology, industry best practices to ensure the integrity and security of all Confidential Information with respect to theft, piracy, and unauthorized access.","လျှို့ဝှက်အချက်အလက်ထဲတွင် ဤစည်းမျည်းများ၊ အလုပ် ဖော်ပြချက်များ၊ လိုင်စင်သဘောတူညီချက်များ၊ စီးပွားရေးနှင့် စျေးကွက်အစီအစဉ်များနှင့်မဟာဗျူဟာများ၊ လူထုမသိသေးသော စီးပွားရေးနှင့် နည်းပညာ အချက်အလက်များ၊ ကုန်သွယ်ရေး လျှို့ဝှက်ချက်များ၊ သင့်အကဲဖြတ်ချက်မှ အကြောင်းအရာများ၊ လျှို့ဝှက်ဟု ဖော်ပြထားသော စာသားများနှင့် လျှို့ဝှက်အဖြစ် ကျိုးကြောင်းဆီလျော်စွာ နားလည်သဘောပေါက်ထားသင့်သော အမြင်နှင့် ပြောဆိုမှု အချက်အလက်များ အပါအဝင် အခြား အချက်အလက်များ ပါဝင်သည်။ ခိုးယူမှု၊ တရားမဝင် ကူးယူမှုနှင့် ခွင့်ပြုချက်မရှိဘဲ ဝင်ရောက်မှုတို့နှင့် စပ်လျဉ်းပြီး လျှို့ဝှက်အချက်အလက်တို့၏ ဂုဏ်သိက္ခာနှင့် လုံခြုံရေးကို သေချာစေရန် Futures Pte Ltd သည် စီးပွားရေးအရ သင့်လျော်သော နည်းပညာ၊ အကောင်းဆုံး လုပ်ငန်း လုပ်ထုံးလုပ်နည်းများကို အသုံးပြုပါမည်"
"Indemnity Obligation","အာမခံ တာဝန်ခံမှု"
"To the extent allowed by law, you agree to indemnify and hold harmless KCGA against any and all claims and expenses, including reasonable attorneys’ fees, arising from the use of KCGA products, services and this web site. This indemnification expressly includes your responsibility for any and all liability arising from the violation or infringement of copyrights, trademarks or other proprietary rights and from the use of any libelous or unlawful material submitted.","ဥပဒေအရ ခွင့်ပြုသည့်အတိုင်း KCGA ထုတ်ကုန်များ၊ ဝန်ဆောင်မှုများနှင့် ဤဝက်ဘ်ဆိုက် အသုံးပြုမှုမှ ဖြစ်ပေါ်လာသော ကျိုးကြောင်းဆီလျော်သော ရှေ့နေခများ အပါအဝင် တောင်းဆိုမှုများနှင့် ကုန်ကျစရိတ်များမှ KCGA ကို အန္တရာယ် မရှိစေရန် လိုက်လျောမည်ဖြစ်ကြောင်း သင်က သဘောတူသည်။ ဤကင်းလွတ်ခွင့်သည် မူပိုင်ခွင့် အမှတ်တံဆိပ် သို့မဟုတ် အခြားပိုင်ဆိုင်ခွင့်များ ချိုးဖောက်မှုမှ သို့မဟုတ် ချိုးဖောက်မှုနှင့် အသရေဖျက်မှု သို့မဟုတ် ဥပဒေနှင့်မညီညွတ်သော ပစ္စည်းများ အသုံးပြုမှုမှ ဖြစ်ပေါ်လာသော တရားစွဲဆိုမှု အားလုံးအတွက် သင့်တာဝန်သာ ဖြစ်ကြောင်း ရှင်းလင်းစွာ ပါဝင်ပါသည်"
"Right To Terminate","ရပ်စဲခွင့်"
,
"DISCLAIMER","တာဝန်မရှိမှု"
"FUTUREED PTE LTD IS PROVIDED “AS IS” AND “WITH ALL FAULTS,” AND WITHOUT WARRANTY OF ANY KIND, AND USE OF FUTUREED PTE LTD IS AT EACH USER’S OWN RISK. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA DISCLAIMS ALL EXPRESS, AND IMPLIED WARRANTIES, AND CONDITIONS, WHETHER BY STATUTE, COMMON LAW, CUSTOM, COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OF TRADE, OR OTHERWISE, RELATING TO FUTUREED PTE LTD INCLUDING (BUT NOT LIMITED TO) ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS FOR A PARTICULAR PURPOSE, TITLE, LACK OF VIRUSES, AND NON-INFRINGEMENT. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, FUTUREED PTE LTD MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY RELATING TO THE SUITABILITY, RELIABILITY, AVAILABILITY, TIMELINESS, QUALITY, ACCURACY, OR COMPLETENESS OF FUTUREED PTE LTD, ANY DATA, INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD, OR THE ACCURACY OF THE INFORMATIONAL CONTENT, FOR ANY PURPOSE. WITHOUT LIMITING THE GENERALITY OF THE FOREGOING, TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA MAKES NO REPRESENTATION, WARRANTY, OR GUARANTY THAT FUTUREED PTE LTD WILL MEET ANY USER’S REQUIREMENTS OR EXPECTATIONS, THAT FUTUREED PTE LTD WILL BE ERROR-FREE, THAT ANY DEFECTS OR ERRORS WILL BE CORRECTED, OR THAT THE DATA, INFORMATION, RECORDS OR OTHER RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD WILL BE ACCURATE OR RELIABLE FOR ANY OTHER PURPOSE.","FUTUREED PTE LTD ကို ""အရှိအတိုင်း"" နှင့် ""အပြစ်အားလုံးအတိုင်း"" နှင့် မည်သည့် အာမခံမျှ မပါဘဲ၊ ဖောက်သည်များက FUTUREED PTE LTD ကို အသုံးပြမှုကို ပေးအပ်သည်။ ဥပဒေမှ ခွင့်ပြုမှု အများဆုံးအတိုင်းအတာအထိ KCGA သည် ဖောက်သည်၊ အသုံးပြုသူ၊ အခြားသူတို့အား FUTUREED PTE LTD ကို အသုံးပြုမှု၊ စွမ်းဆောင်မှု၊ အသုံးပြုနိုင်စွမ်းတို့နှင့်ဆိုင်သော နည်းလမ်းများမှ ပေါ်ပေါက်လာသည့် အထူး၊ မတော်တဆ၊ သွယ်ဝိုက်၊ တစ်ဆင့်ခံ၊ အကျိုးဆက်၊ စံပြ၊ ဒဏ်ခတ်သော ထိခိုက်မှုများ၊ လှုပ်ရှားမှုသို့မဟုတ် စာချုပ်၊ ပိုင်ဆိုင်မှု၊ တင်းကြပ်သော တာဝန်ရှိမှု၊ (ပေါ့ဆမှု အပါအဝင် ကန့်သတ်မထားသော) တရားစွဲဆိုမှု၊ (အာမခံ ချိုးဖောက်ခြင်း အပါအဝင် ကန့်သတ်မထားသော) တင်းကြပ်သော တာဝန်ရှိမှုများ၊ FUTUREED PTE LTD ကို အသုံးပြုရာမှ ရရှိသော၊ ဖြစ်ပေါ်လာသော ဒေတာ၊ အချက်အလက်၊ မှတ်တမ်း သို့မဟုတ်ရလဒ်များ၏ အမှားအယွင်းများ၊ ပျက်ကွက်မှု၊ မတိကျမှုများ၊ ဒေတာများ၊ အခြားအချက်အလက်များ၊ မှတ်တမ်းများ ဆုံးရှုံးပျက်စီးမှုများ၊ KCGA က ယင်း ပျက်စီးဆုံးရှုံးမှု သို့မဟုတ် ဖြစ်နိုင်ချေကို အကြံပေးထားလျှင်ပင် ကျိုးကြောင်းဆီလျော်သော ကာလတွင် (ကန့်သတ်မထားသော) အသုံးမပြုနိုင်မှု၊ နှောင့်နှေးမှု၊ စီးပွားရေးဆုံးရှုံးမှု၊ ဝင်ငွေဆုံးရှုံးမှု၊ အမြတ်အစွန်း သို့မဟုတ် စုငွေ ဆုံးရှုံးမှု၊ စီးပွားရေး နှောင့်ယှက် ဆုံးရှုံးမှု၊ ဒေတာများ၊ အခြားအချက်အလက်များ၊ မှတ်တမ်းများ ဆုံးရှုံးပျက်စီးမှုများ၊ FUTUREED PTE LTD ကို အသုံးပြုနည်းနိုင်စွမ်းမရှိခြင်း သို့မဟုတ် ဒေတာများ၊ အခြား အချက်အလက်များကို မသုံးနိုင်ခြင်းမှ ပေါ်ထွက်လာသည့် ကိုယ်ရေးကိုယ်တာ ဆုံးရှုံးမှုနှင့် ချစ်ကြည်ရေးဆုံးရှုံးမှု၊ အခြားသူများကို တာဝန်ရှိမှုများ၊ သို့မဟုတ် တာဝန်ယူမှုကို ကိုက်ညီစေရန် ပျက်ကွက်မှု သို့မဟုတ် စေတနာကောင်းဖြင့် စီးပွား​ရေးအရ သင့်လျော်သော ဂရုစိုက်မှုဖြင့် တာဝန်ယူမှုကို ကိုက်ညီစေရန် ပျက်ကွက်မှုမှ ဖြစ်ပေါ်လာသော၊ သို့မဟုတ် သဘောတူညီမှု၊ ဆောင်ရွက်မှု၊ ကုန်သွယ်ရေး အသုံးပြုမှုမှ ပေါ်ပေါက်လာသော (သို့သော်ကန့်သတ်မထားသော) ဒေတာများ၊ အခြားအချက်အလက်များ၊ မှတ်တမ်းများ ဆုံးရှုံးပျက်စီးမှုများကို၊ KCGA သို့မဟုတ် FUTUREED PTE LTD သည် ယင်းပျက်စီးဆုံးရှုံးမှု ဖြစ်နိုင်ချေကို သိရှိထားလျှင်ပင် ယင်းတို့အတွက် တာဝန်မရှိစေရ။ "
